merk,model,bouwjaar,type_auto,brandstof,vermogen,prijs,CO2_wltp,Electric_range_km,El_Consumpt_whkm,Engine_cm3
lexus,rx 450,2010,jeep,hybrid,0.0,13328.0,,,,
chevrolet,equinox,2011,jeep,petrol,0.0,16621.0,,,,
honda,fit,2006,hatchback,petrol,0.0,8467.0,,,,
ford,escape,2011,jeep,hybrid,0.0,3607.0,,,,
honda,fit,2014,hatchback,petrol,0.0,11726.0,,,,
hyundai,santa fe,2016,jeep,diesel,0.0,39493.0,,,,
toyota,prius,2010,hatchback,hybrid,0.0,1803.0,,,,
hyundai,sonata,2013,sedan,petrol,0.0,549.0,,,,
toyota,camry,2014,sedan,hybrid,0.0,1098.0,,,,
lexus,rx 350,2007,jeep,petrol,0.0,26657.0,,,,
mercedes-benz,e 350,2014,sedan,diesel,220.0,941.0,196.0,0.0,0.0,1991.0
lexus,rx 450,2013,jeep,hybrid,0.0,1019.0,,,,
hyundai,santa fe,2016,jeep,diesel,0.0,59464.0,,,,
toyota,chr,2018,jeep,petrol,0.0,549.0,,,,
hyundai,elantra,2016,sedan,petrol,90.0,7683.0,140.0,0.0,0.0,1598.0
hyundai,elantra,2016,sedan,petrol,90.0,28382.0,140.0,0.0,0.0,1598.0
hyundai,sonata,2006,sedan,petrol,0.0,549.0,,,,
lexus,rx 400,2008,jeep,hybrid,0.0,941.0,,,,
hyundai,elantra,2012,sedan,petrol,90.0,18826.0,140.0,0.0,0.0,1598.0
toyota,prius,2012,sedan,plug-in hybrid,0.0,20698.0,,,,
toyota,camry,2017,sedan,petrol,0.0,17562.0,,,,
ford,transit,2001,microbus,diesel,,7840.0,222.0,0.0,0.0,1995.0
mercedes-benz,e 220,2006,sedan,diesel,2.5384615384615383,20385.0,,,,
lexus,gx 470,2008,jeep,petrol,0.0,549.0,,,,
toyota,prius,2008,sedan,hybrid,0.0,30.0,,,,
hyundai,elantra,2011,sedan,petrol,90.0,14454.0,140.0,0.0,0.0,1598.0
toyota,highlander,2009,jeep,hybrid,0.0,12074.0,,,,
mercedes-benz,vito,2007,goods wagon,diesel,,15681.0,206.0,0.0,0.0,1950.0
porsche,cayenne,2014,jeep,diesel,250.0,19444.0,272.0,0.0,0.0,2995.0
bmw,x5,2000,jeep,cng,6.0,6899.0,,,,
toyota,highlander,2008,sedan,hybrid,0.0,125.0,,,,
jeep,grand cherokee,2007,jeep,diesel,184.0,24462.0,252.0,0.0,0.0,2987.0
hyundai,santa fe,2011,jeep,diesel,0.0,23235.0,,,,
toyota,chr limited,2019,jeep,petrol,0.0,51746.0,,,,
honda,fit,2010,hatchback,hybrid,0.0,7527.0,,,,
hyundai,elantra,2012,sedan,petrol,90.0,19121.0,140.0,0.0,0.0,1598.0
lexus,rx 450,2010,jeep,hybrid,0.0,314.0,,,,
toyota,camry,2013,sedan,petrol,0.0,24462.0,,,,
hyundai,h1,2016,universal,diesel,0.0,45734.0,,,,
volkswagen,jetta,2016,sedan,petrol,0.0,20165.0,,,,
hyundai,sonata,2014,sedan,hybrid,0.0,21326.0,,,,
porsche,cayenne,2010,jeep,petrol,250.0,549.0,272.0,0.0,0.0,2995.0
toyota,tacoma,2013,jeep,petrol,0.0,220.0,,,,
toyota,prius c,2012,hatchback,hybrid,0.0,15681.0,,,,
hyundai,santa fe,2017,jeep,diesel,0.0,55390.0,,,,
toyota,aqua,2012,hatchback,hybrid,0.0,12544.0,,,,
ford,escape hybrid,2008,jeep,hybrid,,17249.0,,,,
honda,civic,2016,sedan,petrol,0.0,34889.0,,,,
audi,q7,2015,jeep,petrol,210.0,862.0,215.0,0.0,0.0,2967.0
renault,megane 1.5cdi,2008,sedan,diesel,,14583.0,,,,
mercedes-benz,e 300,2017,sedan,petrol,190.0,392.0,181.0,0.0,0.0,1991.0
audi,q5,2014,jeep,petrol,150.0,38500.0,175.0,0.0,0.0,1968.0
mercedes-benz,c 180,2001,coupe,petrol,115.0,8781.0,159.0,0.0,0.0,1497.0
mercedes-benz,gla 250,2019,jeep,petrol,165.0,87112.0,175.0,0.0,0.0,1991.0
nissan,juke,2015,jeep,petrol,0.0,1411.0,,,,
bmw,535,2012,sedan,petrol,0.0,392.0,,,,
chevrolet,cruze lt,2018,sedan,petrol,0.0,23521.0,,,,
ford,fusion,2013,sedan,petrol,0.0,16935.0,,,,
toyota,voxy,2007,minivan,petrol,0.0,10349.0,,,,
nissan,juke,2013,jeep,petrol,0.0,7213.0,,,,
mercedes-benz,a 160,2004,sedan,petrol,80.0,5331.0,135.0,0.0,0.0,1332.0
hyundai,tucson,2013,jeep,diesel,0.0,20526.0,,,,
hyundai,sonata,2015,sedan,lpg,0.0,9722.0,,,,
hyundai,h1,2014,minivan,diesel,0.0,34657.0,,,,
hyundai,h1,2016,minivan,diesel,0.0,36564.0,,,,
toyota,camry,2013,sedan,hybrid,0.0,314.0,,,,
toyota,vitz,2001,hatchback,petrol,0.0,5488.0,,,,
hyundai,h1,2015,universal,diesel,0.0,30063.0,,,,
chevrolet,captiva,2011,jeep,diesel,3.0,15800.0,,,,
hyundai,h1,2017,universal,diesel,0.0,43952.0,,,,
hyundai,santa fe,2016,jeep,diesel,0.0,53154.0,,,,
toyota,prius,2011,hatchback,hybrid,0.0,14740.0,,,,
ford,mustang,2016,cabriolet,petrol,,42337.0,268.0,0.0,0.0,5038.0
mercedes-benz,ml 350,2014,jeep,petrol,0.0,3763.0,,,,
toyota,prius,2012,sedan,petrol,0.0,18189.0,,,,
lexus,gx 470,2008,jeep,petrol,0.0,862.0,,,,
ford,escape,2009,jeep,hybrid,0.0,220.0,,,,
toyota,highlander,2010,jeep,hybrid,0.0,5645.0,,,,
toyota,yaris,2019,sedan,petrol,0.0,7527.0,,,,
honda,civic,2014,sedan,hybrid,0.0,21953.0,,,,
toyota,camry,2012,sedan,petrol,0.0,21953.0,,,,
hyundai,elantra,2012,sedan,petrol,90.0,19121.0,140.0,0.0,0.0,1598.0
hyundai,santa fe,2014,jeep,diesel,0.0,36065.0,,,,
honda,fit,2012,hatchback,hybrid,0.0,8781.0,,,,
chevrolet,cruze,2010,sedan,petrol,0.0,6247.0,,,,
chevrolet,orlando,2012,jeep,diesel,0.0,16289.0,,,,
mercedes-benz,gl 63 amg,2014,jeep,petrol,0.0,77775.0,,,,
subaru,forester,2012,jeep,petrol,110.0,549.0,185.0,0.0,0.0,1995.0
daewoo,lacetti,2008,sedan,petrol,0.0,6981.0,,,,
hyundai,elantra,2016,sedan,petrol,90.0,27284.0,140.0,0.0,0.0,1598.0
bmw,428 sport line,2013,coupe,petrol,,32929.0,,,,
mercedes-benz,e 320,2004,sedan,petrol,0.0,15053.0,,,,
hyundai,genesis,2009,coupe,petrol,0.0,15458.0,,,,
chevrolet,cruze,2014,sedan,petrol,0.0,2901.0,,,,
porsche,911,2013,coupe,petrol,0.0,706.0,,,,
ford,fusion,2015,sedan,hybrid,0.0,314.0,,,,
lexus,gx 460,2010,jeep,petrol,,15681.0,,,,
mercedes-benz,sprinter,2004,microbus,diesel,0.5454545454545454,26657.0,300.0601504,0.0,0.0,2143.0
toyota,prius,2007,hatchback,petrol,0.0,10663.0,,,,
ford,focus se,2015,sedan,petrol,0.0,12858.0,,,,
bmw,x5,2013,jeep,diesel,0.0,1019.0,,,,
bmw,535,2013,sedan,hybrid,0.0,549.0,,,,
kia,picanto,2016,hatchback,petrol,49.0,12858.0,117.0,0.0,0.0,998.0
bmw,328,2008,sedan,cng,0.0,15000.0,,,,
ford,explorer,2017,jeep,petrol,,85553.0,71.0,48.0,220.0,2956.0
hyundai,h1,2016,universal,diesel,0.0,44752.0,,,,
hyundai,elantra,2010,sedan,petrol,90.0,17158.0,140.0,0.0,0.0,1598.0
mitsubishi,airtrek,2005,jeep,lpg,0.0,12231.0,,,,
mercedes-benz,e 500 amg,2003,sedan,petrol,0.0,11917.0,,,,
honda,fit,2003,hatchback,petrol,0.0,94.0,,,,
ssangyong,korando,2013,jeep,diesel,0.0,25591.0,,,,
hyundai,santa fe,2010,jeep,diesel,0.0,14897.0,,,,
toyota,camry,2013,sedan,hybrid,0.0,23521.0,,,,
mazda,616,2014,sedan,petrol,0.0,706.0,,,,
toyota,highlander,2009,sedan,hybrid,0.0,1019.0,,,,
ford,fusion,2015,sedan,petrol,0.0,16935.0,,,,
toyota,camry,2012,sedan,petrol,0.0,19444.0,,,,
hyundai,sonata,2014,sedan,lpg,0.0,11604.0,,,,
hyundai,santa fe,2016,jeep,diesel,0.0,51965.0,,,,
toyota,camry,2014,sedan,hybrid,0.0,706.0,,,,
hyundai,h1,2008,minivan,diesel,0.0,13328.0,,,,
nissan,serena,2012,minivan,petrol,0.0,17876.0,,,,
nissan,maxima,2004,sedan,petrol,0.0,549.0,,,,
toyota,rav 4,2008,jeep,petrol,0.0,20071.0,,,,
hyundai,h1,2011,minivan,diesel,0.0,22894.0,,,,
honda,civic,2012,sedan,hybrid,0.0,2901.0,,,,
lexus,gx 460,2010,jeep,petrol,,39829.0,,,,
lexus,gx 460,2015,jeep,petrol,,706.0,,,,
hyundai,sonata,2013,sedan,petrol,0.0,18660.0,,,,
mercedes-benz,e 300,2017,sedan,petrol,190.0,22580.0,181.0,0.0,0.0,1991.0
hyundai,sonata,2014,sedan,lpg,0.0,11604.0,,,,
chevrolet,volt,2014,hatchback,hybrid,0.0,314.0,,,,
gmc,terrain,2013,jeep,petrol,0.0,5488.0,,,,
toyota,camry,2018,sedan,hybrid,0.0,18817.0,,,,
honda,hr-v ex,2015,jeep,petrol,0.0,21169.0,,,,
fiat,500,2011,coupe,petrol,43.0,9095.0,0.0,311.0,143.0,0.0
volkswagen,jetta,2014,sedan,diesel,0.0,1568.0,,,,
subaru,legacy,2005,goods wagon,petrol,0.0,3136.0,,,,
hyundai,elantra sport limited,2013,sedan,petrol,0.0,17876.0,,,,
hyundai,sonata,2016,sedan,lpg,0.0,11290.0,,,,
toyota,sienna,2010,minivan,petrol,0.0,36065.0,,,,
toyota,camry,2014,sedan,hybrid,0.0,862.0,,,,
hyundai,h1,2012,universal,diesel,0.0,21395.0,,,,
hyundai,sonata,2016,sedan,lpg,0.0,15681.0,,,,
chevrolet,volt,2012,jeep,hybrid,0.0,627.0,,,,
toyota,aqua,2016,hatchback,petrol,0.0,40070.0,,,,
mercedes-benz,a 170,2008,hatchback,petrol,0.0,11917.0,,,,
lexus,nx 300,2018,jeep,petrol,0.0,72130.0,,,,
ssangyong,rexton,2013,jeep,diesel,0.0,35927.0,,,,
