merk,model,bouwjaar,type_auto,brandstof,vermogen,prijs,CO2_wltp,Electric_range_km,Engine_cm3,Transmission,Mileage,Condition,Torque_Nm,Performance_0_100_sec,Seats,Engine_Size_L,Acceleration_0_60_sec,Number_of_Cylinders,Number_of_Doors,Tax,MPG,Top_Speed_mph,Mileage_MPG,Image_ID,Image_name,Genmodel_ID,Predicted_viewpoint,Image_Path
lexus,rx 450,2010,jeep,hybrid,0.0,13328.0,,,,,,,,,,,,,,,,,,,,,,
chevrolet,equinox,2011,jeep,petrol,126.769,16621.0,,,,,,,275.0,8.9,5.0,,8.8,4.0,5.0,,,,,,,,,
honda,fit,2006,hatchback,petrol,95.4496,8467.0,,,,,,,139.0,,,3.3,8.8,,,,,,,,,,,
ford,escape,2011,jeep,hybrid,160.69835,3607.0,,,,,,,285.0,,,,7.0,,4.0,,,,,,,,,
honda,fit,2014,hatchback,petrol,95.4496,11726.0,,,,,,,139.0,,,3.3,8.8,,,,,,,,,,,
hyundai,santa fe,2016,jeep,diesel,188.6621,39493.0,,,,Manual,26317.0,,420.0,9.3,7.0,2.2,8.6,,4.0,235.0,42.8,,,36_21$$2$$3,Hyundai$$Sonata$$2002$$Silver$$36_21$$2$$image_3.jpg,,45.0,
toyota,prius,2010,hatchback,hybrid,90.2297,1803.0,,,,Automatic,67662.0,,142.0,10.5,5.0,3.7,10.1,4.0,5.0,0.0,70.6,,,92_9$$1$$0,Toyota$$Camry$$2000$$Green$$92_9$$1$$image_0.jpg,,315.0,
hyundai,sonata,2013,sedan,petrol,142.4287,549.0,,,,,,,250.0,8.0,5.0,,7.699999999999999,,4.0,,,,,,,,,
toyota,camry,2014,sedan,hybrid,224.4557,1098.0,,,,,5059.0,,250.0,6.0,5.0,3.35,8.1,4.0,4.0,135.0,52.3,,,,,,,
lexus,rx 350,2007,jeep,petrol,0.0,26657.0,,,,,,,,,,,,,,,,,,48_24$$6$$0,Lexus$$RX 350$$2007$$Black$$48_24$$6$$image_0.jpg,48_24,0.0,Lexus$$RX 350$$2007$$Black$$48_24$$6$$image_0.jpg
mercedes-benz,e 350,2014,sedan,diesel,220.0,941.0,196.0,0.0,1991.0,,,,,,,,,,,,,,,36_4$$1$$2,Hyundai$$Elantra$$2003$$Red$$36_4$$1$$image_2.jpg,,0.0,
lexus,rx 450,2013,jeep,hybrid,0.0,1019.0,,,,,,,,,,,,,,,,,,36_4$$1$$2,Hyundai$$Elantra$$2003$$Red$$36_4$$1$$image_2.jpg,,0.0,
hyundai,santa fe,2016,jeep,diesel,188.6621,59464.0,,,,Manual,26317.0,,420.0,9.3,7.0,2.2,8.6,,4.0,235.0,42.8,,,36_21$$2$$3,Hyundai$$Sonata$$2002$$Silver$$36_21$$2$$image_3.jpg,,45.0,
toyota,chr,2018,jeep,petrol,0.0,549.0,,,,,,,,,,,,,,,,,,,,,,
hyundai,elantra,2016,sedan,petrol,90.0,7683.0,140.0,0.0,1598.0,,,,250.0,8.9,5.0,,,4.0,4.0,,,,,36_4$$1$$2,Hyundai$$Elantra$$2003$$Red$$36_4$$1$$image_2.jpg,,0.0,
hyundai,elantra,2016,sedan,petrol,90.0,28382.0,140.0,0.0,1598.0,,,,250.0,8.9,5.0,,,4.0,4.0,,,,,92_9$$1$$0,Toyota$$Camry$$2000$$Green$$92_9$$1$$image_0.jpg,,315.0,
hyundai,sonata,2006,sedan,petrol,142.4287,549.0,,,,,,,250.0,8.0,5.0,,7.699999999999999,,4.0,,,,,,,,,
lexus,rx 400,2008,jeep,hybrid,0.0,941.0,,,,,,,,,,,,,,,,,,,,,,
hyundai,elantra,2012,sedan,petrol,90.0,18826.0,140.0,0.0,1598.0,,,,250.0,8.9,5.0,,,4.0,4.0,,,,,,,,,
toyota,prius,2012,sedan,plug-in hybrid,90.2297,20698.0,,,,Automatic,37870.0,,142.0,10.5,5.0,3.7,10.1,4.0,5.0,0.0,134.5,,,36_4$$1$$2,Hyundai$$Elantra$$2003$$Red$$36_4$$1$$image_2.jpg,,0.0,
toyota,camry,2017,sedan,petrol,224.4557,17562.0,,,,,5059.0,,250.0,6.0,5.0,3.35,8.1,4.0,4.0,135.0,52.3,,,,,,,
ford,transit,2001,microbus,diesel,126.769,7840.0,222.0,0.0,1995.0,,,,405.0,12.0,,,,,,,,,,59_39$$4$$0,Mercedes-Benz$$Vito$$2006$$Silver$$59_39$$4$$image_0.jpg,,0.0,
mercedes-benz,e 220,2006,sedan,diesel,2.5384615384615383,20385.0,,,,,,,,,,,,,,,,,,,,,,
lexus,gx 470,2008,jeep,petrol,0.0,549.0,,,,,,,,,,,,,,,,,,,,,,
