merk,model,bouwjaar,type_auto,brandstof,transmissie,vermogen,prijs
chevrolet,equinox,2011.0,jeep,benzine,automaat,182.0,16621.0
honda,fit,2006.0,hatchback,benzine,automaat,130.0,8467.0
ford,escape,2011.0,jeep,hybrid,automaat,179.0,3607.0
honda,fit,2014.0,hatchback,benzine,automaat,130.0,11726.0
hyundai,santa fe,2016.0,jeep,diesel,automaat,197.0,39493.0
toyota,prius,2010.0,hatchback,hybrid,automaat,134.0,1803.0
hyundai,sonata,2013.0,sedan,benzine,automaat,185.0,549.0
toyota,camry,2014.0,sedan,hybrid,automaat,203.0,1098.0
lexus,rx 350,2007.0,jeep,benzine,automaat,272.0,26657.0
mercedes-benz,e 350,2014.0,sedan,diesel,automaat,299.0,941.0
ford,transit,1999.0,microbus,diesel,schakel,131.0,8781.0
hyundai,santa fe,2016.0,jeep,diesel,automaat,197.0,59464.0
hyundai,elantra,2016.0,sedan,benzine,automaat,122.0,7683.0
hyundai,elantra,2016.0,sedan,benzine,automaat,122.0,28382.0
hyundai,sonata,2006.0,sedan,benzine,automaat,185.0,549.0
hyundai,elantra,2012.0,sedan,benzine,automaat,122.0,18826.0
toyota,prius,2012.0,sedan,hybrid,automaat,134.0,20698.0
toyota,camry,2017.0,sedan,benzine,automaat,203.0,17562.0
ford,transit,2001.0,microbus,diesel,schakel,131.0,7840.0
toyota,prius,2008.0,sedan,hybrid,automaat,76.0,30.0
hyundai,elantra,2011.0,sedan,benzine,automaat,122.0,14454.0
toyota,highlander,2009.0,jeep,hybrid,automaat,295.0,12074.0
mercedes-benz,vito,2007.0,goods wagon,diesel,schakel,190.0,15681.0
porsche,cayenne,2014.0,jeep,diesel,automaat,262.0,19444.0
bmw,x5,2000.0,jeep,diesel,automaat,335.0,6899.0
toyota,highlander,2008.0,sedan,hybrid,automaat,295.0,125.0
jeep,grand cherokee,2007.0,jeep,diesel,automaat,215.0,24462.0
hyundai,santa fe,2011.0,jeep,diesel,automaat,194.0,23235.0
honda,fit,2010.0,hatchback,hybrid,automaat,130.0,7527.0
hyundai,elantra,2012.0,sedan,benzine,automaat,122.0,19121.0
toyota,camry,2013.0,sedan,benzine,automaat,203.0,24462.0
volkswagen,jetta,2016.0,sedan,benzine,automaat,108.0,20165.0
hyundai,sonata,2014.0,sedan,hybrid,automaat,185.0,21326.0
porsche,cayenne,2010.0,jeep,benzine,automaat,240.0,549.0
toyota,tacoma,2013.0,jeep,benzine,automaat,278.0,220.0
toyota,prius c,2012.0,hatchback,hybrid,automaat,99.0,15681.0
hyundai,santa fe,2017.0,jeep,diesel,automaat,197.0,55390.0
honda,civic,2016.0,sedan,benzine,automaat,174.0,34889.0
audi,q7,2015.0,jeep,benzine,automaat,242.0,862.0
mercedes-benz,e 300,2017.0,sedan,benzine,automaat,258.0,392.0
audi,q5,2014.0,jeep,benzine,automaat,175.0,38500.0
mercedes-benz,c 180,2001.0,coupe,benzine,schakel,156.0,8781.0
mercedes-benz,gla 250,2019.0,jeep,benzine,automaat,224.0,87112.0
nissan,juke,2015.0,jeep,benzine,automaat,113.0,1411.0
ford,fusion,2013.0,sedan,benzine,automaat,188.0,16935.0
nissan,juke,2013.0,jeep,benzine,automaat,115.0,7213.0
mercedes-benz,a 160,2004.0,sedan,benzine,automaat,109.0,5331.0
hyundai,tucson,2013.0,jeep,diesel,automaat,175.0,20526.0
toyota,camry,2013.0,sedan,hybrid,automaat,203.0,314.0
chevrolet,captiva,2011.0,jeep,diesel,automaat,164.5,15800.0
hyundai,santa fe,2016.0,jeep,diesel,automaat,197.0,53154.0
toyota,prius,2011.0,hatchback,hybrid,automaat,134.0,14740.0
ford,mustang,2016.0,cabriolet,benzine,automaat,415.0,42337.0
toyota,prius,2012.0,sedan,benzine,automaat,134.0,18189.0
ford,escape,2009.0,jeep,hybrid,automaat,179.0,220.0
toyota,highlander,2010.0,jeep,hybrid,automaat,295.0,5645.0
toyota,yaris,2019.0,sedan,benzine,automaat,106.0,7527.0
honda,civic,2014.0,sedan,hybrid,automaat,118.0,21953.0
honda,cr-v,1998.0,jeep,benzine,automaat,190.0,8154.0
toyota,camry,2012.0,sedan,benzine,automaat,203.0,21953.0
hyundai,santa fe,2014.0,jeep,diesel,automaat,194.0,36065.0
honda,fit,2012.0,hatchback,hybrid,automaat,130.0,8781.0
chevrolet,cruze,2010.0,sedan,benzine,automaat,153.0,6247.0
chevrolet,orlando,2012.0,jeep,diesel,automaat,139.0,16289.0
subaru,forester,2012.0,jeep,benzine,automaat,150.0,549.0
hyundai,elantra,2016.0,sedan,benzine,automaat,122.0,27284.0
honda,civic,1997.0,hatchback,benzine,schakel,174.0,4234.0
hyundai,genesis,2009.0,coupe,benzine,automaat,311.0,15458.0
chevrolet,cruze,2014.0,sedan,benzine,automaat,153.0,2901.0
porsche,911,2013.0,coupe,benzine,automaat,400.0,706.0
ford,fusion,2015.0,sedan,hybrid,automaat,188.0,314.0
mercedes-benz,sprinter,2004.0,microbus,diesel,schakel,163.0,26657.0
toyota,prius,2007.0,hatchback,benzine,automaat,76.0,10663.0
bmw,x5,2013.0,jeep,diesel,automaat,258.0,1019.0
kia,picanto,2016.0,hatchback,benzine,schakel,65.0,12858.0
ford,explorer,2017.0,jeep,benzine,automaat,363.0,85553.0
hyundai,elantra,2010.0,sedan,benzine,automaat,122.0,17158.0
mitsubishi,lancer,1997.0,sedan,benzine,schakel,168.0,1254.0
honda,fit,2003.0,hatchback,benzine,automaat,130.0,94.0
ssangyong,korando,2013.0,jeep,diesel,automaat,147.0,25591.0
hyundai,santa fe,2010.0,jeep,diesel,automaat,194.0,14897.0
toyota,camry,2013.0,sedan,hybrid,automaat,203.0,23521.0
renault,clio,1995.0,hatchback,benzine,schakel,80.0,3450.0
toyota,highlander,2009.0,sedan,hybrid,automaat,295.0,1019.0
ford,fusion,2015.0,sedan,benzine,automaat,188.0,16935.0
toyota,camry,2012.0,sedan,benzine,automaat,203.0,19444.0
hyundai,santa fe,2016.0,jeep,diesel,automaat,197.0,51965.0
toyota,camry,2014.0,sedan,hybrid,automaat,203.0,706.0
nissan,maxima,2004.0,sedan,benzine,automaat,300.0,549.0
honda,civic,2012.0,sedan,hybrid,automaat,140.0,2901.0
hyundai,sonata,2013.0,sedan,benzine,automaat,185.0,18660.0
mercedes-benz,e 300,2017.0,sedan,benzine,automaat,258.0,22580.0
chevrolet,volt,2014.0,hatchback,hybrid,automaat,149.0,314.0
gmc,terrain,2013.0,jeep,benzine,automaat,182.0,5488.0
toyota,camry,2018.0,sedan,hybrid,automaat,203.0,18817.0
fiat,500,2011.0,coupe,benzine,automaat,58.0,9095.0
volkswagen,jetta,2014.0,sedan,diesel,automaat,108.0,1568.0
subaru,legacy,2005.0,goods wagon,benzine,automaat,162.0,3136.0
toyota,sienna,2010.0,minivan,benzine,automaat,296.0,36065.0
toyota,camry,2014.0,sedan,hybrid,automaat,203.0,862.0
chevrolet,volt,2012.0,jeep,hybrid,automaat,149.0,627.0
toyota,prius,2014.0,sedan,hybrid,automaat,134.0,21012.0
toyota,tacoma,2018.0,sedan,benzine,automaat,278.0,21012.0
hyundai,genesis,2011.0,coupe,benzine,automaat,311.0,15624.0
infiniti,qx60,2015.0,jeep,benzine,automaat,295.0,5488.0
hyundai,elantra,2012.0,sedan,benzine,automaat,122.0,20005.0
volkswagen,passat,2017.0,sedan,benzine,automaat,148.0,36110.0
hyundai,santa fe,2016.0,jeep,diesel,automaat,197.0,43880.0
toyota,camry,2011.0,sedan,hybrid,automaat,203.0,17249.0
hyundai,santa fe,2016.0,jeep,diesel,automaat,197.0,44213.0
audi,a6,2014.0,sedan,benzine,automaat,252.0,627.0
